date,open,close,high,low,volume
2020-06-08,6.0,6.15,9.59,6.0,1438772
2020-06-09,5.84,5.84,5.84,5.84,38282
2020-06-10,5.55,5.55,5.55,5.55,7415
2020-06-11,5.27,5.27,5.27,5.27,5642
2020-06-12,5.01,5.01,5.01,5.01,15245
2020-06-15,4.76,4.76,5.0,4.76,806146
2020-06-16,4.6,4.52,4.64,4.52,599246
2020-06-17,4.54,4.56,4.67,4.5,421150
2020-06-18,4.45,4.35,4.48,4.34,441993
2020-06-19,4.37,4.57,4.57,4.33,326686
2020-06-22,4.78,4.49,4.78,4.49,514625
2020-06-23,4.36,4.66,4.71,4.36,507974
2020-06-24,4.59,4.6,4.74,4.57,287463
2020-06-29,4.56,4.63,4.71,4.44,249580
2020-06-30,4.64,4.86,4.86,4.59,365526
2020-07-01,4.94,5.1,5.1,4.88,185981
2020-07-02,5.31,5.36,5.36,5.25,108642
2020-07-03,5.58,5.18,5.63,5.09,687889
2020-07-06,5.18,5.19,5.38,5.07,441114
2020-07-07,5.2,5.1,5.22,5.05,385778
2020-07-08,5.1,5.36,5.36,5.06,272584
2020-07-09,5.5,5.39,5.58,5.28,478911
2020-07-10,5.38,5.34,5.45,5.29,236378
2020-07-13,5.35,5.5,5.6,5.35,300399
2020-07-14,5.5,5.78,5.78,5.42,433799
2020-07-15,5.81,5.7,6.07,5.68,539087
2020-07-16,5.61,5.42,5.65,5.42,328383
2020-07-17,5.33,5.22,5.36,5.16,248400
2020-07-20,5.26,5.37,5.38,5.22,182099
2020-07-21,5.35,5.25,5.38,5.23,181059
2020-07-22,5.22,5.21,5.3,5.19,165380
2020-07-23,5.15,5.01,5.18,4.95,271161
2020-07-24,4.97,4.87,5.13,4.81,210552
2020-07-27,4.88,5.11,5.11,4.83,157978
2020-07-28,5.18,5.23,5.32,5.09,241496
2020-07-29,5.17,5.25,5.27,5.14,148997
2020-07-30,5.26,5.19,5.4,5.19,172977
2020-07-31,5.12,5.15,5.23,5.07,173484
2020-08-03,5.14,5.19,5.24,5.13,149936
2020-08-04,5.2,5.09,5.22,5.08,151000
2020-08-05,5.05,5.19,5.3,5.03,180848
2020-08-06,5.15,5.13,5.18,5.09,115421
2020-08-07,5.13,5.07,5.16,5.03,111232
2020-08-10,5.07,5.11,5.21,5.03,111019
