date,open,close,high,low,volume
2001-08-27,-133.32,-133.11,-132.67,-133.65,406318
2001-08-28,-133.22,-132.85,-132.82,-133.3,129647
2001-08-29,-132.83,-132.95,-132.82,-133.0,53252
2001-08-30,-132.97,-132.8,-132.72,-133.02,48013
2001-08-31,-132.79,-132.82,-132.7,-132.86,23231
2001-09-03,-132.78,-132.83,-132.71,-132.85,22112
2001-09-04,-132.82,-132.73,-132.61,-132.85,37006
2001-09-05,-132.7,-132.74,-132.64,-132.78,26066
2001-09-06,-132.75,-132.88,-132.73,-132.92,28997
2001-09-07,-132.92,-133.09,-132.83,-133.09,31552
2001-09-10,-133.14,-132.88,-132.85,-133.22,18878
2001-09-11,-132.86,-132.97,-132.83,-132.98,11390
2001-09-12,-133.16,-133.03,-132.98,-133.16,25045
2001-09-13,-133.02,-133.05,-132.96,-133.08,10986
2001-09-14,-133.02,-132.96,-132.92,-133.06,7672
2001-09-17,-133.01,-133.06,-132.97,-133.12,8983
2001-09-18,-133.05,-132.97,-132.91,-133.05,10773
2001-09-19,-132.96,-132.84,-132.84,-133.01,8650
2001-09-20,-132.84,-132.9,-132.81,-132.92,11173
2001-09-21,-132.97,-133.01,-132.9,-133.02,7879
2001-09-24,-133.01,-133.01,-132.95,-133.02,4068
2001-09-25,-132.97,-132.98,-132.92,-133.01,3488
2001-09-26,-133.0,-133.01,-132.93,-133.02,4956
2001-09-27,-133.01,-132.88,-132.83,-133.02,8778
2001-09-28,-132.84,-132.81,-132.78,-132.92,17088
2001-10-08,-132.82,-132.91,-132.79,-132.97,6552
2001-10-09,-132.9,-132.76,-132.73,-132.9,9558
2001-10-10,-132.76,-133.0,-132.74,-133.02,17548
2001-10-11,-133.02,-133.07,-132.92,-133.09,12306
2001-10-12,-133.04,-133.02,-132.89,-133.41,20010
2001-10-15,-133.04,-133.16,-133.02,-133.24,9755
2001-10-16,-133.2,-133.26,-133.06,-133.27,8319
