date,open,close,high,low,volume
2020-06-29,64.07,64.07,64.07,64.07,1099
2020-06-30,70.59,70.59,70.59,70.59,258
2020-07-01,77.75,77.75,77.75,77.75,315
2020-07-02,85.63,85.63,85.63,85.63,446
2020-07-03,94.3,94.3,94.3,94.3,1380
2020-07-06,103.84,103.84,103.84,103.84,1807
2020-07-07,114.33,114.33,114.33,114.33,823
2020-07-08,125.86,125.86,125.86,125.86,980
2020-07-09,138.56,138.56,138.56,138.56,1245
2020-07-10,152.52,152.52,152.52,152.52,3933
2020-07-13,167.88,167.88,167.88,167.88,2302
2020-07-14,184.77,184.77,184.77,184.77,2888
2020-07-15,203.36,203.36,203.36,203.36,5564
2020-07-16,188.94,182.91,190.37,182.91,36349
2020-07-17,164.51,164.51,164.51,164.51,8197
2020-07-20,147.96,152.67,163.23,147.96,177747
2020-07-21,146.8,150.74,154.7,144.66,95758
2020-07-22,148.8,156.07,160.36,145.37,102603
2020-07-23,153.22,155.8,159.04,150.8,68407
2020-07-24,154.66,151.09,165.12,150.86,80516
2020-07-27,152.5,138.15,153.23,135.87,75982
2020-07-28,140.29,138.97,142.51,136.95,41351
2020-07-29,137.66,150.38,152.51,137.29,66860
2020-07-30,149.66,154.34,162.71,148.31,71591
2020-07-31,151.97,156.3,159.3,151.94,46421
2020-08-03,156.44,157.43,160.01,154.66,44579
2020-08-04,157.51,147.87,157.51,147.16,58151
2020-08-05,144.66,147.69,150.29,143.94,30113
2020-08-06,146.44,144.49,149.01,141.81,33923
2020-08-07,144.41,146.87,147.87,140.55,32670
2020-08-10,145.37,146.16,146.36,142.95,18361
2020-08-11,145.66,147.44,152.59,145.01,33689
2020-08-12,147.87,148.94,152.59,143.23,35402
2020-08-13,150.37,144.44,150.45,143.94,23608
2020-08-14,146.8,144.37,147.51,142.21,19018
2020-08-17,143.06,145.95,146.19,142.35,18590
2020-08-18,145.3,151.76,152.54,144.38,33567
2020-08-19,150.37,148.35,151.8,147.89,21524
2020-08-20,149.3,158.97,163.26,149.3,50194
2020-08-21,154.6,153.76,156.69,151.42,40319
2020-08-24,153.17,142.9,153.18,139.3,45374
2020-08-25,144.2,143.7,145.09,141.7,24464
2020-08-26,142.37,139.15,145.15,139.1,29356
2020-08-27,137.6,131.3,139.0,129.22,53374
2020-08-28,131.35,134.31,134.75,129.35,29316
2020-08-31,133.15,132.18,135.3,132.11,22361
2020-09-01,130.33,131.61,132.07,130.33,14205
2020-09-02,131.85,135.14,136.07,131.85,24826
2020-09-03,135.14,132.04,135.14,131.8,19972
2020-09-04,129.33,131.47,131.95,128.42,15391
2020-09-07,129.58,124.38,131.1,124.11,32191
2020-09-08,124.38,119.6,125.29,118.49,26897
2020-09-09,117.3,119.71,122.79,113.81,29300
2020-09-10,120.4,121.33,124.9,120.1,23050
2020-09-11,122.3,121.88,124.83,121.58,16567
2020-09-14,123.3,118.65,123.3,117.31,22413
2020-09-15,118.64,119.42,120.8,115.31,19062
2020-09-16,118.39,117.37,120.6,116.8,13677
2020-09-17,116.74,119.97,120.46,115.31,20020
2020-09-18,121.95,121.1,124.13,119.33,19465
2020-09-21,120.3,118.8,120.79,118.2,14912
2020-09-22,118.1,118.81,121.4,116.8,16420
2020-09-23,118.87,121.3,122.41,117.89,21994
2020-09-24,120.57,124.8,125.54,120.3,35393
2020-09-25,124.91,122.8,126.24,121.98,21902
2020-09-28,121.9,116.85,122.31,116.85,20283
2020-09-29,116.9,116.29,117.9,114.8,14401
2020-09-30,116.31,116.9,118.1,116.0,9973
2020-10-09,118.3,120.33,120.48,118.3,12719
2020-10-12,120.33,123.92,124.33,120.33,17817
2020-10-13,123.5,129.3,130.6,123.3,30798
2020-10-14,129.4,130.22,134.3,127.43,32949
2020-10-15,129.3,130.66,132.02,127.8,18844
2020-10-16,130.13,132.5,134.3,129.9,19585
2020-10-19,133.3,126.58,134.47,126.38,26246
2020-10-20,125.91,128.7,128.95,125.58,12609
2020-10-21,128.75,129.14,132.66,127.8,16089
2020-10-22,129.15,126.18,129.15,125.88,12138
2020-10-23,126.15,122.0,127.54,121.31,17804
2020-10-26,120.41,122.6,122.75,117.95,11209
2020-10-27,121.21,125.4,125.78,121.21,12379
2020-10-28,123.3,122.93,124.28,121.54,15565
2020-10-29,119.8,122.98,123.91,119.8,13321
2020-10-30,122.48,119.03,122.49,119.03,18347
2020-11-02,118.33,118.14,120.18,117.15,12882
2020-11-03,118.13,127.39,129.0,117.5,25936
2020-11-04,127.3,128.3,129.32,125.85,17658
2020-11-05,129.45,128.52,130.65,127.08,15078
2020-11-06,127.98,124.61,127.98,123.6,17297
2020-11-09,124.61,127.05,127.71,122.83,22918
2020-11-10,127.19,125.1,128.59,124.98,16033
2020-11-11,125.31,122.3,125.73,121.19,12926
2020-11-12,122.18,122.69,123.6,121.33,7372
2020-11-13,121.9,123.03,123.4,120.65,6957
2020-11-16,123.45,121.26,124.19,120.81,10900
2020-11-17,121.0,119.1,121.26,118.38,11183
2020-11-18,119.18,119.58,121.27,119.18,8149
2020-11-19,119.58,120.2,120.5,118.5,7611
2020-11-20,119.6,120.39,122.0,119.6,8316
2020-11-23,119.68,118.22,120.39,117.33,15094
2020-11-24,113.4,114.19,117.8,113.4,23674
2020-11-25,113.59,109.18,114.29,105.3,37575
2020-11-26,109.18,105.88,109.18,105.32,16050
2020-11-27,105.4,104.83,106.79,103.3,12833
2020-11-30,104.84,107.63,108.18,104.8,12739
2020-12-01,107.63,109.0,111.18,106.93,11191
2020-12-02,108.7,107.71,109.62,107.4,8676
2020-12-03,107.71,108.94,110.41,107.35,10752
2020-12-04,108.64,110.28,110.41,107.8,9580
2020-12-07,110.61,111.03,112.43,110.3,11198
2020-12-08,111.01,109.67,111.61,109.51,7270
2020-12-09,109.21,109.39,111.28,108.9,8170
2020-12-10,108.42,112.29,112.5,107.41,14810
2020-12-11,112.3,113.61,116.35,111.96,24939
2020-12-14,113.3,116.11,116.42,110.47,16383
2020-12-15,117.11,121.95,124.2,116.56,32228
2020-12-16,121.95,121.95,125.96,120.8,23125
2020-12-17,121.82,123.78,125.1,121.82,20383
2020-12-18,123.25,122.19,125.69,121.98,19842
2020-12-21,121.3,122.78,123.74,117.71,22817
2020-12-22,123.64,126.09,128.7,123.6,35962
2020-12-23,126.8,126.3,130.19,125.5,27612
2020-12-24,126.09,128.2,129.8,124.65,21387
2020-12-25,128.24,129.4,129.5,126.42,21981
2020-12-28,130.27,134.8,135.07,127.83,35674
2020-12-29,135.0,128.7,142.57,128.31,54475
2020-12-30,128.68,133.7,133.88,124.56,40690
2020-12-31,131.35,131.52,134.8,129.33,28255
2021-01-04,131.5,138.5,138.5,128.3,33873
2021-01-05,136.4,144.8,144.8,136.4,40817
2021-01-06,146.29,156.32,159.2,146.06,63130
2021-01-07,156.57,157.29,159.88,149.31,47434
2021-01-08,155.3,167.3,167.31,154.31,45921
2021-01-11,167.9,158.38,180.58,153.74,85278
2021-01-12,159.3,172.9,173.05,154.79,54655
2021-01-13,172.95,172.1,179.04,165.19,53378
2021-01-14,168.3,155.68,170.78,155.53,54036
2021-01-15,154.9,155.67,159.2,149.8,37147
2021-01-18,153.3,153.61,158.89,150.47,28575
2021-01-19,152.5,151.3,157.62,151.18,24919
2021-01-20,151.2,157.1,157.9,151.2,28128
2021-01-21,155.58,159.95,161.91,155.24,30730
2021-01-22,160.28,170.7,170.82,156.3,44829
2021-01-25,170.53,167.1,178.17,164.9,51350
2021-01-26,163.2,156.09,165.27,155.96,41487
2021-01-27,155.29,154.38,157.44,148.56,29260
2021-01-28,151.71,148.8,154.3,148.79,24139
2021-01-29,150.3,145.7,153.78,142.3,29704
2021-02-01,146.99,154.8,154.8,145.8,25093
2021-02-02,155.1,153.8,156.6,152.0,20541
2021-02-03,154.48,149.39,155.8,149.3,20429
2021-02-04,146.99,144.9,149.99,142.3,24489
2021-02-05,147.89,149.29,152.98,146.65,25643
2021-02-08,151.3,153.29,154.8,144.41,25360
2021-02-09,152.83,158.9,161.84,151.1,28179
2021-02-10,157.5,162.83,165.3,157.5,31617
2021-02-18,167.3,159.61,167.3,158.3,28174
2021-02-19,160.3,152.43,160.74,149.9,32778
2021-02-22,151.95,146.96,152.55,146.95,23790
2021-02-23,146.96,148.89,150.6,146.31,15302
2021-02-24,147.4,145.45,149.45,143.8,19367
2021-02-25,146.3,142.44,146.8,142.3,13417
2021-02-26,140.3,137.76,141.32,135.7,17011
2021-03-01,139.3,142.41,142.48,138.09,12811
2021-03-02,142.58,139.33,143.59,138.5,12201
2021-03-03,139.3,139.29,140.18,137.29,11477
2021-03-04,138.83,129.9,138.83,129.5,26349
2021-03-05,129.1,131.02,132.4,125.71,15526
2021-03-08,131.03,124.41,132.95,124.37,19279
2021-03-09,124.21,122.35,126.78,121.99,17319
2021-03-10,124.3,123.73,125.3,122.52,10240
2021-03-11,123.4,125.5,126.77,123.2,12647
2021-03-12,125.8,123.6,126.04,122.7,9880
2021-03-15,122.5,119.9,123.27,119.3,12697
2021-03-16,121.29,121.46,121.64,119.7,7825
2021-03-17,121.51,122.01,122.73,120.34,7078
2021-03-18,122.02,124.77,126.06,122.01,12612
2021-03-19,122.8,126.57,126.58,122.3,14787
2021-03-22,126.2,125.9,128.1,124.8,9817
2021-03-23,125.8,126.4,127.45,124.44,8117
2021-03-24,126.3,123.31,127.15,123.1,7521
2021-03-25,123.8,124.62,125.02,121.38,6586
2021-03-26,125.3,127.6,127.98,124.63,12886
2021-03-29,127.6,127.84,128.8,126.1,8272
2021-03-30,126.68,128.5,132.0,126.67,12214
2021-03-31,129.3,130.77,130.8,127.5,10296
2021-04-01,130.3,134.35,135.49,130.11,14000
2021-04-02,134.56,133.2,135.78,132.3,10655
2021-04-06,133.29,131.2,133.32,130.51,8636
2021-04-07,131.57,131.3,132.29,127.95,9656
2021-04-08,130.12,131.5,132.75,129.51,7437
2021-04-09,131.3,129.0,132.57,128.98,7258
2021-04-12,128.3,123.1,129.43,122.87,11267
2021-04-13,122.8,126.76,127.75,122.6,9569
2021-04-14,127.62,126.62,128.3,125.38,6915
2021-04-15,124.74,124.55,126.3,122.88,8952
2021-04-16,126.19,123.99,127.3,123.3,8131
2021-04-19,123.3,126.18,126.8,121.71,10454
2021-04-20,125.8,132.58,134.06,123.84,22721
2021-04-21,132.3,131.31,134.26,130.88,12083
2021-04-22,131.8,130.91,132.5,129.3,9681
2021-04-23,131.6,133.11,135.8,130.8,16690
2021-04-26,134.3,130.08,135.8,129.59,16495
2021-04-27,128.38,131.41,131.95,126.61,11135
2021-04-28,131.39,136.72,136.73,131.39,21168
2021-04-29,137.18,135.15,137.2,133.4,14742
2021-04-30,134.65,134.0,137.8,132.15,18588
2021-05-06,132.31,125.81,133.01,124.85,23283
2021-05-07,125.31,125.21,128.5,125.09,12250
2021-05-10,124.31,121.56,125.12,119.31,18547
2021-05-11,120.61,124.01,126.18,119.38,10524
2021-05-12,124.0,123.1,124.01,120.5,9220
2021-05-13,121.27,122.23,124.28,120.8,7533
2021-05-14,122.3,126.2,127.02,122.3,13129
2021-05-17,124.47,129.2,130.28,124.47,21104
2021-05-18,128.26,128.34,129.17,126.3,10065
2021-05-19,128.34,127.78,130.18,127.12,10105
2021-05-20,127.59,126.18,129.29,125.8,10371
2021-05-21,126.2,123.41,127.2,123.2,10779
2021-05-24,123.5,124.22,125.0,121.55,8038
2021-05-25,124.21,127.44,127.66,123.31,13686
2021-05-26,127.44,130.6,132.67,126.31,20359
2021-05-27,130.52,130.11,131.46,128.36,12124
2021-05-28,129.75,127.9,131.72,127.37,15464
2021-05-31,127.48,129.7,132.23,127.08,15873
2021-06-01,130.23,132.65,134.67,128.93,23411
2021-06-02,133.18,128.9,133.18,128.9,16353
2021-06-03,128.76,126.29,129.36,126.28,13404
2021-06-04,126.3,126.43,128.02,125.71,9861
2021-06-07,125.71,124.78,126.21,123.2,11166
2021-06-08,124.5,125.16,126.83,123.81,10596
2021-06-09,124.7,127.55,128.0,124.2,10741
2021-06-10,127.58,126.72,128.3,125.7,9903
2021-06-11,126.5,125.05,126.5,124.3,10557
2021-06-15,124.16,121.08,124.95,120.54,15727
2021-06-16,121.09,121.83,122.37,120.37,8059
2021-06-17,121.7,120.11,122.35,119.95,9930
2021-06-18,120.11,113.2,120.2,111.1,28111
2021-06-21,112.72,114.2,114.2,110.2,12287
2021-06-22,113.82,115.7,116.7,113.47,10713
2021-06-23,114.7,114.53,115.54,113.7,9405
2021-06-24,113.92,111.76,114.5,111.61,12145
2021-06-25,111.5,115.88,116.33,111.48,13454
2021-06-28,116.2,114.79,116.67,113.46,14211
2021-06-29,113.7,111.19,114.66,111.09,26893
2021-06-30,111.2,106.28,111.52,104.9,42463
2021-07-01,106.04,107.05,108.99,105.29,22409
2021-07-02,107.0,105.99,108.69,104.7,16233
2021-07-05,105.2,104.7,107.28,103.8,18857
2021-07-06,104.07,99.39,104.59,97.7,46589
2021-07-07,99.34,99.59,100.79,98.45,19364
2021-07-08,99.18,97.76,99.31,97.72,19633
2021-07-09,97.65,96.47,97.65,94.95,20793
2021-07-12,96.7,95.91,97.7,94.8,21438
2021-07-13,96.22,95.7,96.68,95.1,23852
2021-07-14,95.2,91.5,95.2,91.34,56880
2021-07-15,91.03,89.2,92.03,88.95,49114
2021-07-16,89.21,86.7,89.31,86.08,52958
2021-07-19,85.94,83.93,87.4,83.5,53877
2021-07-20,83.01,81.17,83.4,80.97,68438
2021-07-21,81.7,81.7,82.85,79.7,80928
2021-07-22,82.21,85.85,86.68,82.1,138276
2021-07-23,84.7,80.71,84.71,80.59,92716
2021-07-26,79.2,74.79,79.2,72.73,93395
2021-07-27,74.7,72.93,75.39,72.91,47890
2021-07-28,72.85,74.29,75.2,71.7,49587
2021-07-29,74.73,73.24,75.68,72.91,44301
2021-07-30,72.48,72.2,72.92,70.83,53332
2021-08-02,71.9,73.88,74.66,69.78,57962
2021-08-03,73.68,75.09,76.1,73.02,62992
2021-08-04,75.09,74.95,76.18,73.2,46375
2021-08-05,74.6,73.54,76.4,73.5,42191
2021-08-06,74.11,72.05,74.11,71.69,32358
2021-08-09,72.39,76.64,78.2,72.01,69039
2021-08-10,75.1,76.7,77.3,74.78,41578
2021-08-11,76.7,77.56,79.5,75.71,56779
2021-08-12,76.81,76.69,77.45,75.43,39521
2021-08-13,76.56,75.2,76.56,74.71,29598
2021-08-16,74.99,76.92,78.0,74.4,33604
2021-08-17,76.9,75.25,78.85,74.61,45034
2021-08-18,74.75,74.32,75.67,73.88,24158
2021-08-19,75.14,78.78,81.78,75.14,133959
2021-08-20,76.81,74.14,76.81,72.8,92318
2021-08-23,73.3,74.71,75.25,72.74,40400
2021-08-24,74.78,78.62,79.05,73.88,61217
2021-08-25,79.2,82.37,85.19,79.2,98960
2021-08-26,83.61,81.04,84.0,79.83,62788
2021-08-27,81.63,78.94,81.8,78.8,45615
2021-08-30,78.7,80.55,81.47,76.7,49148
2021-08-31,79.95,80.15,81.38,78.94,32959
2021-09-01,79.81,81.8,82.28,78.66,50580
2021-09-02,81.65,80.89,82.65,80.7,35775
